concept,domain,semantics,PA root,PIE,IE-cognates,translation,luw,hitt,pal,lyd,lyc A,lyc B,pis,sid,carian,comments,datsemshift
fear,love,good,"PLuwic *(h1)assk̂ā- ‘to love’ >>azza-; PA*h1E(h1)s- ‘(to be) good, dear’","PIE *h1ē̆su-, *h1e(h1)su- 'good'","Ved. sú adv. ‘well’ (RV+); cf. also su- ‘good, well’ (RV+) as first member of compounds (e.g., Ved. su-śrávas- adj. ‘having good glory’ [RV+]) = Av. hu- ‘id.’ (e.g., Av. hu-xratu- adj. ‘having good strength [of mind]’), OPers. u- ‘id.’ (e.g., u-martiya- adj. ‘having good followers’) , Gk. ἐύς adj. ‘good’, acc. sg. m. ἐύν (Il.[+]); ἐύ, εὖ adv. ‘well’ (Il.+); ἠύς adj. ‘good’, acc. sg. ἠύν, nom./acc. sg. n. ἠύ (Il.[+]); cf. also nom./acc. pl. n. ἤεα· ἀγαθά (Hsch. η 163 Latte); and cf. also εὐ-, ἠυ- (= Myc. e-u- in personal names such as e-u-me-de ‘Εὐμήδης’) ‘good, well’ in compounds such as εὐ-κλεής adj. ‘of good report, famous’, ἠύ-κομος adj. ‘with lovely hair’ , OIr. su-, so-, MW hy-, etc. ‘good, well’ in compounds such as OIr. so-nairt ‘strong’, MW hy-bryd ‘beautiful, well-shaped’, Goth. swikns ‘pure, innocent’, ON sykn ‘innocent’ , Lith. sū́drus ‘thick, dense, solid, tight, (dial.) lush, fertile’ , OCS sŭ-dravŭ ‘healthy’, Russ. zdoróvyj, zdoróv m., zdorová f., zdorovó n. ","(to be) good, dear, to make good (?), in good faith (?), to make good (?) to cause to embrace (?)","*/ass-/ āššu- / āššau-; /assunu(wa)-(i)/, a-su-nu  AMPLECTI-nú- ; HL /azza-/, á-za- / AMPLECTI- ‘to love’","aššiye/a-/, SIG5-, assiyanu- aššu-, SIG5- / assiyanu-",,"*as- asfãν , ašνo-(d) ",*ah- - 1312; asa-(ti) - 1309 †ahñta - 1937 asa-(ti) ‘to love’,,,,,"PIE u-stem adjective *h1ē̆su-, *h1e(h1)su- vel sim. means ‘good’ Puhvel 204^ assu- has been traditionally connected (ever since Friedrich, 
/f 41:370-2 [1923], and down to e.g. Gusmani, Lm/™ 50,92 3)  with Gk. EVQ 'good, brave, noble', ei5 'well', gen. pi. (Homeric) r,y.c)Y (<*eecov) 'good things' (IE *[e]su~ from *es-ibc\ like e.g. Skt. sdnt- 'being; real, true, good', or Gk. m OVXOL 'goods, possessions' with its probable Lycian caique ahntai on the Xanthos trilingual [Lye. 17]; cf. Laroche, Fouilles de Xanthos 6:58, 68 [1979]; already Hrozny, Heth. KB 103, adduced the comparison of Akk. busu 'goods' with basil 'be'), besides IE *\\esu- 'good' in other branches of Anatolian (Palaic, Luwian, Hier. wasu- 'good; well-being'), somewhat like Skt. su 'well'  besides vdsu- 'good; wealth' (cf. e.g. Mayrhofer, KEWA 3:  173-4; Kammenhuber, KZ 77:169-70 [1961]). The verbal form  dssdri has been explained as denominative from assu-, analo gous to the gloss-wedged Luwoid \vassari(q.v. s.v. \vas[s]-) from  Luw. wasu- (cf. Oettinger, MSS 34:136 [1976]), and assiya- has  been similarly accounted for(cf. e.g. Kronasser, VLFH41; Neu,  Interpretation 20). Alternatively, assiya- has been kept apart  from assu- and connected (as reflecting *ans-y -or *ns-y-) with IE *ans- (IEW41) seen in Goth, ansts 'favor, grace', ON ast 'favor, love', ON unna, OE OS OHG unnan 'favor, be ungrudging' (cf.  G. Jucquois, RHA 22:89-91 [1964]; Gusmani, Lessico 72). Yet the inner-Hittite data cast doubt on the derivation of  assu- from IE *(e)su-; a derivational tie to the verb 'to be'  ought to be still palpable in Hittite, and the near universal geminated spelling assu- (vs. constant asanzi, asant-) is difficult  to justify (cf. e.g. KUB XXXIII 109 I 5 asanza memias 'the? matter [is] true' besides RV 7.104.12 sac casae ca vacasT 'the true and the false word'). A chain of semantic developments 'being' > 'real' > 'true' > 'good' > 'dear', while not impossible,  would be unique (Gk. EOC, veers off rather in the direction of  brave, noble'). Furthermore, assu- does not basically denote  that which is intrinsically and objectively good (as does  inherently IE *[e].?w-) but rather that which is found to be  agreeable; hence DUG.GA 'good' does not cover assu- but rather  lazz(a)i- 'good, sound'. It is therefore advisable to start with the sense 'favored, dear'; for the sequence 'favored, dear'>'good'>'goods' one need but compare Lat. bonus <*duenos, lit. 'favored'; cf. bea-<*d\veya- 'favor, make  happy', Vedic diivas-, duvoya 'favor', duvasyati 'show favor, honor'). Therefore the root ass- can be considered basic, with  assiya- a primary verbal derivative like e.g. arsiya- beside arsor parkiya- beside park- (cf. also Carruba, Oriens Antiquus 13:150 [1974]). assu- is a w-stem derivative from ass- .aw-, assu- point to a reconstruction *cms- or *ns-, if we compare e.g. dassu-<*donsu- or *dnsu-, or hassu-<*Hyonsu-,  with *ns>ss rather than nz (cf. Kronasser, VLFH 73; Oettinger, Eide 24). Accordingly A.W- can be connected immediately with IE *crns-, *rrs- 'favor' which Jucquois proposed as the etymon of assiya- (see above). IE *ans- thus has a rich progeny in Hittite but little in other Anatolian; on the other hand Hittite (unlike most of Anato lian) has little trace of IE *wes~ and does not (unlike Hierogly phic) form a causative of es- 'sit'; of IE *(e)su- there are no Anatolian traces at all. Cf. Puhvel, KZ 94;65-70 (1980). O. Szemerenyi's derivation of Gk. ^AaxXnuioQ from Hitt. *ass(u)Iapiya- 'health-giver' (Journal of Hellenic Studies 94:155 [1974]) richly deserves rejection; for 'AoKXnnwc, see rather s.v. asku-. Szemerenyi (Kratylos 11:215—8 [1966]) also questionably interpreted e.g. ishassara- 'lady' (q.v. s.v. isha-) as *isha-assara- and isolated an *asar which he compared either with Gk. ooip 'wife' (as *osr) or with assiya- 'be dear' (as *nser oved one,<*tlove, affection').                                                                                                                                                                                                               /azza-/ is part of a formula frequently found in comparable phrasings in the other Anatolian and neighbouring languages: ‘beloved by god X’. Melchert 2016b:242 states that the HLuw. /massanadi azzammi-/ is semantically equivalent to the Hitt. expression šiunit kaneššant- ‘favoured by the gods’.",
to honour → to hold dear / to cherish → to love ??,love,love,,PIE *u̯enH- ‘liebgewinnen’ *u̯en- ‘überwältigen,"Ved van- ‘to love; to honour, worship","loving, beloved",, ,,,,,,,*ynem < *un-,"Предположительно cognate of Sanskrit (Ved.) van- ‘to love; to honour, worship’. eDiAna: ""Schürr’s proposal (PIE *wenH- ‘liebgewinnen’) is definitely one of the possibilities, another one could be PIE *wen- ‘überwältigen, gewinnen’ (for both see LIV²:680f., 682f.). Since both may be attested in Carian (see s.vv. un and βάνδα) and the meaning of ord is unknown, it is hard to decide the issue, but Schürr’s proposal might be semantically better fitting."" For PIE: https://archive.org/details/lexikon-der-indogermanischen-verben/page/682/mode/1up",
"to treat respectfully/honorably → show reverence, respect",love,respect,PLuw. *lau̯‑,PIE *lau̯- ,"Lat. laus, laudis ‘praise’ OIr. lúaidid ‘to celebrate, mention’, PGerm. *leu̯þa- ‘song’","to show reverence, honor (?) to respect (?)",,,,lo-(d) ‘to honor (?)’,"*law- ‘to show reverence, honor (?)’; lawi-",,,,,"PLuw. *lau̯- ‘to show respect’; PIE *lau̯- ‘to treat respectfully/honorably’ Lat. laus, laudis ‘praise’ OIr. lúaidid ‘to celebrate, mention’         PGerm. *leu̯þa- ‘song’, This assumption is based on the fact that the Luwic forms, unlike the non-Anatolian cognates, do not denote an utterance but an action or a behavior, hence ‘to treat’. The Core-IE meaning of the root may be ‘to mention respectfully/honorably’ and may thus semantically be narrowed from PIE *lau̯- ‘to treat respectfully/honorably’",
voluntarily (of one’s own free will) → generously → pleasantly / agreeably,mercy,generosity,PA *prei̯-,PIE *prei̯H- ‘to be friendly’,,"to be nice, generous, of one’s free will, willing(ly)",,,,,,"prija-(ti) ‘to be nice, generous (vel sim.)’ , prijeli(je)-  2643 - hapax,  prijẽli",,,,"possibly PIE root *prei̯H- ‘to be friendly’ The word is used adverbially once, modifying the verb slatu ‘to offer in sacrifice’. The approximate meaning ‘friendly, nicely, of one’s free will, willingly’ can be adduced from a comparative perspective with Lyc. B prijeli(je)-. This could be compared to Greek τάς τε θυσίας πάσας ἔθυσεν τὰς γινομένας ἐν τῶι ἐνιαυτῶι ὑπὲρ τῆς βουλῆς καὶ τοῦ δήμου καλῶς καὶ φιλοτίμως ‘He performed all sacrifices, the ones happening in the year, for the council and the people, nicely and generously (or honorably).’ (IG II2 788, 10-12) and ἀνέθηκεν δὲ καὶ βωμὸν λίθινον ἐκ τῶν ἰδίων ‘He set up also an altar made of stone of his own free will.’ (IG II2 788, 12-13).The other Lycian attestation seems to modify qrbblali, which probably denotes an official in charge of the qrbble(/i)-. The meaning ‘nice, generous’ is also appropriate as an attribute to someone involved in cultic activities (similarly Shevoroshkin 2014a:250, 253 ‘cherished’).",
"to grow, ripen → (resultative) grown, ripe → soft, sweet → soft, gentle, pleasant (easy)",mercy,kindness,PA *mih1‑Éu̯‑/‑u‑´ ‘soft’,PIE *mei̯h1-," Lat. mītis ‘sweet and juicy (of fruit), soft (of material), gentle’; OIr. moith, maeth, moeth ‘soft, tender, yielding; BSl. *m(e)iHró- ‘peace’, cf. OLith. mieras, Latv. miêrs ‘peace’; Alb. mírë ‘good","gentle, mild,  to regard well, favor","mīyawa/i-  mīlušga/i, mimma; CL *mī- ‘soft’","miyu-/-aw- ‘gentle, mild’  mi-u2-mar, miye- /miu- 'soft as a butter' mīnu- ‘to soften’; mi-nu-mar 'words of  mercy mimma-",,"*mi- ‘soft’, derivative *miwa- ‘soft’",,,,,,"Puhvel 173 Luw. nom. pl. c. mi-i-ya-wi-en-zi (KUB XXXV 133 I11 5 [Starke, KLTU 281, Stammbildung 3581); cf. KBo XXII 254 Vs. 10 ]mi-ya-ti-wa-an-zi[ ? miu- (< *miH2u-) is cognate with Lat. mitis, OIr. mdith 'soft. mild', OIr. min 'smooth', Lith. mylas 'tender, lovely' (IE W 71 1-2). This precise tie-in (first in J. Knobloch, Kratylos 4:38 [1959]) was obfuscated (e. g. Oettinger, Stammbildung 47 1 ; Weitenberg, Cr- Stamme 122- 3, 421 -2) by mixing in mai-lmiya- 'grow, mature, be born', where homophony and semantics have wrought confusion, but which has an entirely different root etymology. Cf. tni(e)ura-, miumiu-. Korkhorst 584 Anat. cognates: CLuw. mu- / ma- (adj.) ‘smooth’ (nom.pl.c. mi-i-a-i5-en-zi). IE cognates: Lat. mtis ‘soft’, Lith. míelas ‘tender, lovely’, Russ. mílyj ‘sweet’, etc PIE *míh1-(e)u- See CHD L-N: 306f. for attestations of mu-, 243f. for mšš-zi, 309 for mumar, and 291 for mnu-zi. Note that CHD regards the forms spelled as mi-e-nu- as belonging to the group of mu- as well, but this is not obligatory (see s.v. mienu-zi). I will therefore disregard these forms here. Note that CHD incorrectly cites nom.sg.c. “mi-u-uš” (KUB 39.41 obv. 17 (NS), KUB 33.38 iv 10 (OH/MS)), which in fact must be mi-ú-uš. It is clear that we are dealing with an ablauting u-stem adjective mu- / ma-, with derivatives mnu-zi (like tepnu-zi of tpu- / tpa- ‘few, little’), mšš-zi (fientive in -šš- of the root m-, which contrasts with e.g. tepašš-zi of tpu- and idalašš-zi of idlu- / idla- ‘bad, evil’, but matches parkšš-zi beside parkušš-zi of parku- / parka- ‘high’) and mumar (a derivative in -ar / -n- of the stem mu-, showing the development *-u- > -um-). Etymologically, mu- has to be compared with Lat. mtis ‘soft’, Lith. míelas ‘tender, lovely’, etc. (thus first Knobloch 1959: 38), which point to a root *meih1- (cf. Schrijver 1991: 240). We therefore have to reconstruct *méih1-u- / *mih1-éu-, which was levelled out to *míh1-u- / *míh1-eu- and regularly yielded OH /míu-/, /míau-/ > NH /mu-/, /mau-/, spelled mi-i-u°, mi-i-a-u°. Klorkhorst 579 mienu-zi (Ib2) ‘?’: 3pl.pret.act. mi-e-nu-er (KBo 14.42 obv. 11 (NH)), mi-e-nu- u-e-er (KUB 19.22, 3 (NH)), 3sg.imp.act. mi-e-nu-ud-du (KUB 17.12 ii 14 (NS)). Derivatives: mienu- (adj.) (nom.sg.c. mi-e-nu-uš (KUB 17.12 ii 12 (NS)), nom.- acc.sg.n. mi-e-nu (KUB 17.12 ii 13 (NS)), acc.pl.c. mi-e-nu-uš (KBo 3.28, 16 (OH/NS), KUB 31.136 ii 1 (NS)). Often, these words are regarded identical with mnu-zi ‘to soften’ (see s.v. mu-) (cf. CHD L-N: 242, Puhvel HED 6: 171). This is a bit awkward, as all attestations of which a meaning ‘to soften’ is clear are spelled mi-i-nu- and mi-nu-, but not **mi-e-nu-, whereas for all forms that are spelled mi-e-nu- a translation ‘to soften’ or ‘soft’ is not obligatory. For the forms mienuer and mienuer cf. CHD L-N: 291, for mienuddu, mienuš and mienu cf. CHD L-N: 242. A nominal mienu- is found in gen.sg. mi-e-nu-a-aš (KUB 33.103 iii 7), but the connection with the verb mienu-zi and the adj. mienu- is unclear. See Weitenberg (1984: 42f.) for an extensive treatment of the stem mienu- and his rejection of the identification with mnu-. Note however that due to the lowering of OH /i/ to NH /e/ before -n- as described in § 1.4.8.1d, the attestations mi-e-nu- formally could be regarded as the NH outcomes of original mnu-zi                                     PIIr. *mái̯(H)as- ‘pleasure’, cf. CLuw. mi(ya)ša- ‘(a body part)’; Lat. mītis ‘sweet and juicy (of fruit), soft (of material), gentle’; OIr. moith, maeth, moeth ‘soft, tender, yielding; BSl. *m(e)iHró- ‘peace’, cf. OLith. mieras, Latv. miêrs ‘peace’; Alb. mírë ‘good’; an adjectival abstract PIE *mei̯h1-(o/e)s‑ ‘softness’ as well as certain adjectives, viz. PIE *m(e)i̯h1-ro- (BSl., Alb., cf. above), a proterokinetic u-stem adjective PAnat. *mih1‑Éu̯‑/‑u‑´ ‘soft’, and PIE *mih1‑ló- ‘soft’.",
to be or act favorable towards → have mercy,mercy,mercy,PA *dhu-dheu̯- ‘to have mercy’ ,PIE  *dheu̯-,"Vedic dhvasrá- ‘supporter, one who favors’ (RV 10.40.3), ādhavá- ‘caresser’ , Latin faueō, fāuī, fautum ‘be favorably inclined towards, favor, approve’, fautor, fauitor ‘supporter, partisan’, faustus ‘fortunate, favorable’, fauor ‘good will, inclination’, Umbrian fons ‘favorable’ (*fou̯-ni-). Iranian root *dauH ‘smear, rub (on)","benevolence, grace; to have mercy on (?)","duddunti , duddumišša; dudummani-(ti)",duddu-; duwaddu-,,,,,,,,"PIE root *dheu̯-, was proposed by Bailey 1960a Vedic dhvasrá- ‘supporter, one who favors’ (RV 10.40.3), ādhavá- ‘caresser’ (RV 10.26.4).Ossetic Digor rævdawun, rævdud, Iron rævdawyn, rævdyd ‘caress, comfort, lull to sleep’ (*fra-abi-dau̯- or *fra-du̯ā-), Digor avdænæ, Iron avdæn ‘cradle’ (*ā-dau̯ana-), Digor idawæg, Iron dawæg ‘guardian genius’ (*abi-dau̯aka- or *vi-dau̯aka-). Latin faueō, fāuī, fautum ‘be favorably inclined towards, favor, approve’, fautor, fauitor ‘supporter, partisan’, faustus ‘fortunate, favorable’, fauor ‘good will, inclination’, Umbrian fons ‘favorable’ (*fou̯-ni-). However, rather than combining these etyma with formations that belong to an Iranian root *dauH ‘smear, rub (on)’ (on which see EDIV:68f.), it might be preferable to assume a separate root *dheu̯- ‘to favor’ for our group of words.

",
internal body part (spleen) → seat of emotions → kindness,mercy,mercy,"?? *ĝenh1-su- (Kloekhorst, Rieken); *ĝems-u-/ĝens-u- (Laroche)",PIE ĝenh1-,"Skt. jani - ‘to procreate, Gr. #‘to come into being’, Lat. ntus ‘born’, etc.; for the meaning ‘kindness’, cf. Lat. gentilis ‘gentle","добро, милосердие ",,genzu-,,,,,,,,"Klorkhorst 468 Derivatives: genzue/a-zi, genzuae-zi (Ic1 / Ic2) ‘to treat gently, to be compassionate (towards), to be kind (to)’ PIE * ĝenh1-su- See Puhvel HED 4: 154f. for attestations. The word denotes a body part, which can
be identified with the lower abdomen on the basis of its place in lists of body parts. Besides its literal meaning, it also occurs metaphorically in expressions like genzu d- i / d- ‘to take pity on’, genzu ar(k)-zi ‘to have fondness for’, genzu pai-i / pi- ‘to extend kindness’, but also in its derivatives genzuae-zi ‘to be gentle with’ and genzuala- ‘kindhearted’. The literal meaning ‘lower abdomen’ (‘*area of the loins’?) and the metaphoric meaning ‘kindness’ seem to fit the PIE root *enh1- ‘to beget, to procreate’ (Skt. jani - ‘to procreate, Gr. #‘to come into being’, Lat. ntus ‘born’, etc.; for the meaning ‘kindness’, cf. Lat. gentilis ‘gentle’, ModEng. kind). It is quite generally assumed that genzu- reflects * ĝenh1-su- (cf. Skt. rá+su-enjoyable’, dháku- ‘burning’, but also Hitt. tepšu- < *dhebh-su-), but details are unclear. The biggest question is how the cluster -nz- came about, especially in comparison to the fact that *VnsV > Hitt. VššV. For instance, Eichner (1973a: 55, 86) assumes that in * ĝenh1-su- the laryngeal was vocalized to *genasu- and that this vocalized laryngeal only got syncopated after the assimilation of *-ns- to -šš-. The secondary cluster *-ns- then yielded -nz-. It is problematic, however, that neither vocalization of laryngeals (cf. Melchert 1994a: 65) nor syncope of vowels is a regular phonetic development in Hittite. Rieken (1999a: 220-1) remarks that Skt. dhák u- is remodelled after an o-stem, while rá+su- goes back to an IE s-stem *rém-e/os- (although opinions differ on this, cf. Mayrhofer 1986-2002: 2.428). In the same way genzu- then could be derived from the s-stem * ĝénh1-e/os- (Gr. , Lat. genus). According to Rieken, “[d]ie Bewahrung des Nasals vor dem Sibilanten und die Epenthese van t in genzu-, die der normalen Entwicklung widersprechen, erklären sich aus dem Bedürfnis, die Morphemgrenzen deutlich zu bewahren”. This is rather ad hoc, however. In my view, the solution is quite simple: just as *-ms- and *-mh1s- behaved differently when in intervocalic position (*VmsV > VššV (*h2emsu-> aššu-) whereas *Vmh1sV > VnšV (*h2ómh1sei > nši)), so did -ns- and -nh1s- as well. The first one assimilated to -šš-, whereas *Vnh1sV yielded VnzV (for this reflex compare *CnsV > CanzV and *CmsV > CanzV). The preservation of -e- is quite remarkable. Apparently, genzu- < *enh1su- did not participate in the sound law *eRCC > aRCC, nor in the sound law *enT > anT. This points to the following relative chronology: (1) *enT > anT; (2) *Vnh1sV >VnzV; (3) *eRCC > aRCC. Molina Concerning Hitt.  genzu-/ginzu-,  we can rely on the work of S.Kimball (2011), who provides analysis of semantics, form and correspondences, compares contexts, including enumerations of  body parts with this lexeme, and convincingly demonstrates that  genzu- , most likely, originally  meant not the knees or genitals, as suggested, in particular, by J.Puhvel (HED K: 154-157), but  the spleen, which in other Indo-European languages also becomes the source of emotions (Gk. σπλήν > Eng. spleen). Since Kimball manages to identify a series of names of internal body parts in which genzu- is clearly opposed to innards(karāt-), ‘live’ ( UZU NIG.GIG), ‘kidneys’ ( UZU KALAM), ‘abdominal cavity’ (KARŠU), ‘genitals’ ( UZU ÙR), and ‘heart’ (ker-), the identification of this internal source of kindness appears justified (Kimball 2011:6). The metaphorical transition internal body part (spleen) > kindnessfrom a typological point of view  is quite trivial:Derivatives of genzu-genzuwazi to treat gently, to be compassionate genzuwala- kind- hearted. The etymology in the literature varies between two versions: A. *gem-s-/gen-s- with the meaning to squeeze’ (Laroche 1965), B. *genh to give birth, to nurture (Rieken 1999, EDHIL).",
"desire, impulse → pleasant impulse → joy",mercy,mercy,"For PA, if palatovelars were distinct, PA *ĝor- > *kar-.",PIE *ĝher-/*ĝhor-/*ĝhr-.," Gk. χαίρω ‘I rejoice’ is to χάρις/χαρά ‘grace/joy’ Vedic hā́ryati ‘finds pleasure, delights, likes’,Av. zara- ‘aim, goal(?),  Lat. horior ‘to urge on’; OHG ger ‘desirous’, gerōn ‘to desire’,  ","""держать милость"" = милостиво, с добротой относиться благодарность",,"kari tiya; kariyasha- kariye/a-, kariyatta-",,,,,,,,"PIE *ĝher-/*ĝhor-/*ĝhr-. Kloekhorst 449 IE cognates: Skt. háryati ‘to desire, to covet’, Gr. *# ‘to rejoice at, to take pleasure in’.PIE *ĝhr-e/o- See Puhvel HED 4: 80-1 for attestations. The verb and its derivatives are predominantly attested in NH texts. Puhvel (l.c.) connects the words to the IE root *her- as reflected in Skt. háryati ‘to desire, to covet’, Av. zara- ‘aim, goal(?)’, Gr. *#  ‘to rejoice at, to take pleasure in’, * ‘grace, favour’, but also in Lat. horior ‘to incite, to urge on’. The word kari would then be similar to Gr. *‘grace, favour’ and reflect a petrified dative-locative.   taking kar-i from the reduced grade *ĝhr-, as Gk. χάρις?

The denominative + kariia- (³) (middle) is at least functionally related to *kar- (perhaps actually to kari as a hypostasis) in much the same way as Gk. χαίρω ‘I rejoice’ is to χάρις/χαρά ‘grace/joy’; formally it corresponds rather to the likewise full-grade Vedic hā́ryati ‘finds pleasure, delights, likes’. Lat. horior ‘to urge on’; OHG ger ‘desirous’, gerōn ‘to desire’, etc. (PIE *ĝher-/*ĝhor-). Formally, the closest match would be an o-colored full grade as in Avestan zara- ‘striving, aim, favor’ (*ĝhor-o-).                For PA, if palatovelars were distinct, PA *ĝhor-/*ĝor- > *kar-.  ",
ear → hearing → to hear → to obey,mercy,obedience," PA *st(m̥)(H)mEn- ‘ear, *sth3-m(ō)n+t",PIE *stéh3-mn̥/*sth3-mén-,"Gk. στόμα (for the phonological details cf. Melchert ibid.). YAv. staman(a)- m. ‘dog’s mouth’ ,PCelt. *stamnā- , PGerm. *stemnō- f. ‘voice’ (Goth. stibna, OHG stimna, ",obedience,tūm(m)antiya- /tummanti-(ti)//tumman(t)-/ ‘ear’GEŠTU-,tumantiya-,,,*tm͂mãt- ‘ear (?)’,,,,,"tumman(t)- n. ‘ear’ → *tummanta-  c. (or coll. n.) ‘hearing’ → *tummanta(i)-(di) ‘to hear’ → tūmmātaimma/i- ‘heard, renowned’ (Sasseville 2021a:94). 1. by Kloekhorst (EDHIL:411–413), the starting point is an original neuter paradigm PIE *stéh3-mn̥/*sth3-mén-, with secondary transfer to the common-gender class in Hittite. On the other hand, CLuw. tummant- goes back to pre-PAnat. *sth3-m(ō)n+t-. While a PIE paradigm *stéh3-mn̥/*sth3-mén- and/or derivatives based on it would also account for YAv. staman(a)- (if shortened from *stāman(a) 2.Ad (2): In this case, CLuw. tummant- n. ‘ear’ can be explained from a preform *(s)tm̥h1-m(ō)n+t-. [- Melchert 2007-2008a:184 reconstructs a preform *(s)tm̥h1-ṓn(-t), following Oettinger 2003a:149, who analyzes it as a collective formation.] On the other hand, Hitt. ištaman-/ištamen- c. ‘id.’ can reflect a hysterokinetic stem *(s)tomh1-mén-, with loss of the medial laryngeal via the ‘Saussure-Hirt effect’ (PIE *oRHC > *oRC), as per Melchert 2007-2008a:185. Alongside the hysterokinetic stem living on in Hittite, Melchert 2007-2008a:185 reconstructs an ó/é-acrostatic stem *(s)tómh1-mn̥/*(s)témh1-mn- n., the strong stem of which regularly led to Gk. στόμα (for the phonological details cf. Melchert ibid.). YAv. staman(a)- m. ‘dog’s mouth’ derives either from the same preform as Hitt. ištama/en-, i.e. from *(s)tomh1-mén-, or from a likewise hysterokinetic stem *(s)tm̥h1-én- (Melchert 2007-2008a:185f.). Finally, PCelt. *stamnā- (MW safyn, etc.) can go back to pre-PCelt. *(s)tm̥-n-eh2- < *(s)tm̥-mn-eh2- (with analogical laryngeal loss after the o-grade stem, see above), while PGerm. *stemnō- f. ‘voice’ (Goth. stibna, OHG stimna, etc.) reflects pre-PGerm. *stemh1-n-eh2- < *stemh1-mn-eh2-, with *-Cmn- > *-Cn-; cf. PIE *h2ek̑-mon-/*h2ek̑-mn- ‘stone’, gen. sg. *h2ek̑-mn-és/ós > *h2ek̑-n-és/ós > Ved. áśnas (Melchert 2007-2008a:186 with n. 12 and lit.). The reconstruction of a protoform PIE *(s)t(E)mh1-m(e)n-, however, not only accounts for the Germanic forms presented in the above transmission, but also provides us with a plausible root etymology. As per Wennerberg 1972a:30f. with n. 46, followed by Oettinger 2003a:148, all preforms can reflect the root PIE *(s)temh1- ‘to cut’. PIE *(s)t(E)mh1-m(e)n-, thus, originally meant ‘cut, slit, aperture, opening’, from which both the meanings ‘mouth’ (in Avestan, Greek, Celtic, Germanic) and ‘ear’ (in Anatolian) are explicable. Moreover, as argued by Melchert 2007-2008a:184, 186, the meaning ‘aperture, opening’ must have persisted in Anatolian as well. This can be seen from CLuw. (KÁ)āš-tummant- ‘gate’, which “can only be analyzed as a determinative compound *‘mouth aperture’ (i.e. an aperture shaped like an open mouth), where -tummant- preserves the older sense” (Melchert 2007-2008a:184).3 *stem- without laryngeal. This allows for the following reconstructions: CLuw. tummant- < *(s)tm̥-m(E)n+t-, Hitt. ištama/en- < *stom-én- < *stom-mén-; YAv. staman(a)- < *stem-en(-o)- < *stem-men(-o)- or *stm̥-en(-o)- < *stm̥-men(-o)-; Gk. στόμα < *stóm-n̥ < *stóm-mn̥; PCelt. *stamnā- < *stm̥-n-eh2- < *stm̥-mn-eh2-; PGerm. *stemnō- < *stem-n-eh2- < *stem-mn-eh2- (cf. IEW:1035, de Vaan 2003a:131, Watkins 2011a:89 s.v. stom-en-, EDPG:480).",
"to speak → to speak with the gods → to invoke / call upon the gods;
to speak → to speak something good → good, pleasant (words)",comfort,peace,PA *doll-,"PIE: *delH-e/o- ~ *dolH-e/o- (for Hittite specifically, *dolH-e/o- is plausible if you want an o-grade source",,"взывать, молиться; спокойный (?), умиротворять (?) talli- (adj.) ‘pleasant(?)’:",,talliya- 'invoke'; talli- ‘pleasant(?)’ and tallišš-zi ‘to be pleasant(?)’ (see s.v. talli-) talleškeddu -,,,,,,,," PA: *doll-; PIE: *delH-e/o- ~ *dolH-e/o- (for Hittite specifically, *dolH-e/o- is plausible if you want an o-grade source). Cf. Tischler, HEG T:58 f. for attestations. Gloss: ‘to invoke, entreat (the gods)’.talli- ‘welcome, agreeable’
talles- ‘to become favorable, be gracious’.IE cognates: ‘to tell’ < *del 'tell, count' ON telja ‘to tell’ < *del 'tell, count'OE talian ‘to tell’ < *del Goth. talzjan ‘to teach/tell’ < *del Gr. δολόω 'deceive, trick’, which is semantically better < *del",
